trip_id,trip_property_id,value
CR-665348-1707,note,Waits at Readville for Train 1807
CR-665348-1707,trip_type,wait
CR-677163-1804,note,Waits at Readville for Train 1704
CR-677163-1804,trip_type,wait
CR-677293-2804,note,Waits at Readville for Train 2704
CR-677293-2804,trip_type,wait
CR-665437-2705,note,Waits at Readville for Train 2805
CR-665437-2705,trip_type,wait
CR-665399-2719,note,Waits at Readville for Train 2819
CR-665399-2719,trip_type,wait
CR-665400-2711,note,Waits at Readville for Train 2811
CR-665400-2711,trip_type,wait
CR-677292-2806,note,Waits at Readville for Train 2706
CR-677292-2806,trip_type,wait
63288268-19:45-AlewifeKendall1,note,Waits at some downtown stations for connections
63288268-19:45-AlewifeKendall1,trip_type,wait
63288268-19:45-AlewifeKendall2,note,Waits at some downtown stations for connections
63288268-19:45-AlewifeKendall2,trip_type,wait
63288279-19:45-AlewifeKendall0,note,Waits at some downtown stations for connections
63288279-19:45-AlewifeKendall0,trip_type,wait
63288279-19:45-AlewifeKendall1,note,Waits at some downtown stations for connections
63288279-19:45-AlewifeKendall1,trip_type,wait
